"","Common_Name","Class","wt_1","wt_2","piwi_1","piwi_2","Fold_Change","padj"
"WBGene00006675","twk-22","unk",115.564,104.239,118.019,110.226,1.04,0.948
"WBGene00010546","K03H1.11","CSR",891.852,802.172,820.599,898.402,1.016,0.948
"WBGene00012550","spcs-2","unk",2459.515,2137.274,2257.441,2279.639,-1.012,0.948
"WBGene00012643","Y39A1A.3","CSR",738.299,675.317,726.849,709.307,1.017,0.948
"WBGene00018509","xrep-4","CSR",3217.458,3017.238,3100.953,3067.856,-1.01,0.948
"WBGene00022165","Y71H2AL.2","unk",17.171,21.707,23.036,19.689,1.094,0.948
"WBGene00007017","mdt-17","CSR",2184.277,2061.315,2141.979,2148.949,1.011,0.948
"WBGene00020323","arrd-23","unk",2.482,21.32,14.045,13.562,1.136,0.948
"WBGene00008425","D2045.8","unk",68.007,97.892,82.226,92.366,1.047,0.948
"WBGene00010708","phf-33","unk",4.969,6.231,4.013,5.408,-1.191,0.948
"WBGene00012375","mecr-1","unk",1722.496,1595.113,1665.069,1609.602,-1.012,0.948
"WBGene00044348","Y71G12B.31","unk",11.785,9.608,19.156,5.643,1.134,0.948
"WBGene00020819","T26A5.2","CSR",2552.682,2268.795,2407.018,2464.669,1.011,0.949
"WBGene00006873","vab-7","unk",13.592,12.33,13.035,10.081,-1.121,0.949
"WBGene00001542","gcy-17","unk",2.487,4.46,2.007,3.593,-1.248,0.949
"WBGene00010975","R01H10.7","CSR",1247.117,1334.65,1250.326,1299.005,-1.013,0.949
"WBGene00016987","CC8.2","CSR",364.468,348.997,380.269,316.866,-1.024,0.949
"WBGene00019504","K07H8.2","CSR",3419.723,3283.148,3186.458,3446.184,-1.01,0.949
"WBGene00018576","F47G3.1","unk",54.713,76.684,64.223,74.598,1.052,0.949
"WBGene00008702","clec-252","unk",0,2.636,1.003,2.759,1.383,NA
"WBGene00004192","prx-2","CSR",71.811,68.081,81.238,65.578,1.049,0.949
"WBGene00009565","F39H11.1","unk",1320.189,1281.015,1273.291,1293.408,-1.013,0.949
"WBGene00007295","C04C11.1","unk",32.176,45.936,38.109,45.605,1.067,0.949
"WBGene00000007","aat-6","unk",105.725,113.337,118.914,109.194,1.039,0.949
"WBGene00004434","rpl-22","unk",12909.76,11702.067,12546.568,12264.574,1.008,0.949
