"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Y49G5B.1",359.516210129823,-1.78103457782572,0.269591321026993,-6.6064240163258,3.93714197276792e-11,1.00209944703598e-08
"D2085.1",6672.94047724284,-0.747241040758062,0.113415822995045,-6.58850785565176,4.44268750975863e-11,1.11253493994375e-08
"F29C12.5",1144.59394633657,-1.4831942338176,0.225674681843766,-6.57226686529422,4.95549419388498e-11,1.22125401355965e-08
"F41G3.10",679.839018385788,-2.15737991279825,0.328503702881432,-6.56729252630959,5.12383289159021e-11,1.24300983554421e-08
"C15H11.6",1143.4011693501,-0.671644341836581,0.102341402648334,-6.56278226070918,5.28129398598285e-11,1.26149800655953e-08
"F42A9.6",707.120102494146,-2.18576266486585,0.33321579693988,-6.5596009701191,5.39519521438937e-11,1.26917880149408e-08
"H11L12.1",50.7340114679281,3.79816260754487,0.579557351267906,6.55355781310611,5.61821677746087e-11,1.30191692069937e-08
"B0250.8",421.719811943975,-2.83865372546482,0.433809257757841,-6.54355266675613,6.00743146535049e-11,1.37163795486811e-08
"psF39E9.10",169.697669093062,1.52209385967081,0.235182602018535,6.4719662364772,9.67357409865252e-11,2.17669436892288e-08
"MTCE.16",1423.8550020255,5.54615560891106,0.858717502299557,6.45864978186543,1.05641272082502e-10,2.34312341478989e-08
"T03F1.10",97.9427048362988,-1.96347682243517,0.305079256016227,-6.43595650544898,1.22698167997129e-10,2.68311514975129e-08
"Y49E10.4",1653.87644785493,-1.08243486085603,0.169636726278048,-6.38089925811133,1.76051097850272e-10,3.79634631281017e-08
"K11G12.1",2095.60583130291,1.27706296008504,0.201128301321982,6.34949408756066,2.16024168254903e-10,4.59450854291182e-08
"T08E11.2",97.8892880315886,1.72655768920971,0.272128311621583,6.34464557884971,2.22938085730335e-10,4.67748205276916e-08
"ZK455.1",6837.85881599108,-1.24485522224116,0.196672745481302,-6.32957667415848,2.45834711704011e-10,5.08910631188863e-08
"Y102A5C.4",119.608157792502,2.8841928772685,0.456494604274817,6.31813136510191,2.64744929844578e-10,5.40779886003072e-08
"F58E10.1",2042.28299626005,-0.922449261733861,0.1460466073854,-6.31612933876391,2.68195615240478e-10,5.40779886003072e-08
"F36H12.9",67.0229985174253,2.08845153239699,0.331391233405215,6.30207236002317,2.93691987228447e-10,5.84597665860112e-08
"psF32A11.5",131.166999340776,-1.59977217526831,0.254041236730547,-6.29729328929829,3.02887867363126e-10,5.95270509959481e-08
"T21E8.2",70.576455230237,-2.44245451677932,0.388297814041431,-6.29015778213656,3.17143458137902e-10,6.14238143123066e-08
"T27C10.3",494.860361980045,-1.37903012299853,0.219292336255723,-6.28854681629369,3.20451433678786e-10,6.14238143123066e-08
"Y49A3A.1",2022.92694401503,-1.12548463518399,0.179209353264256,-6.2802784267872,3.37967225902836e-10,6.39912091386273e-08
"ZC15.10",108.156047083969,2.14408438004266,0.343576514994382,6.24048584949911,4.36213858023432e-10,8.08941859708552e-08
"ZK262.8",62.1011141787246,3.11248792315562,0.498798692063116,6.23996809270257,4.37660158543851e-10,8.08941859708552e-08
"F33H1.2",6288.32625529968,-0.848555645730481,0.136317607376085,-6.22484257216614,4.82039784912537e-10,8.80488200064947e-08
"T10H9.2",246.017518252311,1.44978866230433,0.233452264554459,6.21021460242089,5.29122915193593e-10,9.5525143968555e-08
"WBTransposon00000098",301.164915603964,6.4434551269727,1.03888266129247,6.20229345146296,5.5646192359016e-10,9.93060669616187e-08
"trK08A2.6",49.6735993135226,8.15965414178902,1.31761943049398,6.19272450978497,5.91330325581134e-10,1.04329484488326e-07
"F14F9.3",103.045609618493,2.11389713366666,0.341545182870379,6.18921665327339,6.0463932457543e-10,1.0547899048717e-07
"F49F1.8",250.117664881578,2.29057963352277,0.370581830558526,6.18103599431871,6.36822932485156e-10,1.0985903166405e-07
"C45G9.7",189.936811127834,1.21921583876808,0.197453669612026,6.17469323899475,6.62920560789219e-10,1.12596127233617e-07
"F22D6.2",1901.11841799922,-0.893803285483664,0.144776465134743,-6.1736780536243,6.67193334116501e-10,1.12596127233617e-07
"AH6.5",6123.6052064986,-0.803330531079023,0.130188934576783,-6.17049777456497,6.80753336450259e-10,1.13649207545449e-07
"C36F7.2",287.308077576933,-2.05720626037292,0.334543606610502,-6.14929181046362,7.78296710968383e-10,1.28551433345693e-07
"C28A5.2",2131.43926724078,-0.86270884293914,0.140504529415158,-6.14007851939091,8.2480700758526e-10,1.34799511576513e-07
"Y32B12B.4",2371.93930764213,-1.18817834704288,0.193680423403321,-6.13473641870667,8.53005029385696e-10,1.37955792565024e-07
"Y8A9A.2",371.797991448746,-3.79140550714281,0.619492584286872,-6.12017900344566,9.34702958945797e-10,1.496102901092e-07
"Y53G8AL.1",47.8641437673862,-2.11313310665317,0.348237791543487,-6.06807520024513,1.29452293030039e-09,2.05089418529018e-07
"ZK262.9",51.6990876561055,3.20229450104037,0.527893184380705,6.06617890851749,1.30989211881573e-09,2.05428131684172e-07
"E_BE45912.2",100.878602564983,1.90709752443877,0.314564074279112,6.06266792801838,1.33881903464337e-09,2.07865043318729e-07
"C39E9.13",3816.38191990859,-0.749854561498219,0.123887353937652,-6.05271270767148,1.4242674581423e-09,2.18942342129875e-07
"F54F3.3",185.683609938022,-2.84524116044463,0.472620522511366,-6.02013883215619,1.74267534789623e-09,2.64435233804438e-07
"F49F1.7",182.510589548881,2.1400721173972,0.355548918214152,6.0190651912157,1.75427212945105e-09,2.64435233804438e-07
"Y22F5A.4",10709.6854842886,1.45485286744871,0.242950504023443,5.98826857057405,2.12086645611166e-09,3.16620890361439e-07
