"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"R04E5.9",59.4857935360899,-0.469645596948102,0.289010407781568,-1.62501274799438,0.104159842560087,0.295766763890535
"C42D4.4",4.66368749237991,1.88439438918258,1.15971187010285,1.6248815225246,0.104187806030755,0.295799636153059
"C28G1.1",139.443203357321,0.432061323496032,0.265987817325461,1.62436508498945,0.104297914126134,0.296065678234132
"F35G12.12",3357.90174917281,0.209581481796637,0.129051989639424,1.62400814107721,0.104374071068331,0.296235276234974
"K07G5.1",8023.57939899845,0.168903103481239,0.104024800914546,1.62368110293225,0.10444388613154,0.296386824172367
"F21H12.6",14388.014945367,0.21221527983313,0.130730490071774,1.62330363572124,0.104524512732123,0.296569000208668
"F14H12.7",26.326369976116,1.13032637700232,0.696379170555744,1.62314788378903,0.104557795583107,0.296616810949341
"B0507.1",68.7218997041963,-0.641182782209175,0.395070534346397,-1.62295774163453,0.104598438737061,0.296685483601931
"C14F5.5",540.467712351641,-0.190328779628074,0.117287807936942,-1.62274990875778,0.104642877657009,0.296732153570726
"ZK896.9",1058.24710404361,0.286073520731041,0.176291831411647,1.62272703414744,0.104647769632222,0.296732153570726
"C50H11.11",1.01570626658957,-5.05025266246401,3.11305933493766,-1.62227960314966,0.104743493960714,NA
"WBTransposon00000031",2.38386950861378,4.78945019698449,2.952542963684,1.6221441164089,0.104772493988003,0.297012240797355
"K08H2.8",203.218582817963,-0.351190704125683,0.216502184359453,-1.62211159746366,0.104779455398458,0.297012240797355
"C49H3.3",2189.23253034322,0.58991872825746,0.363841067079652,1.62136378114875,0.104939643618385,0.297419611705993
"F08D12.9",53.7268355642417,-0.710504476734789,0.438280874851026,-1.62111677124012,0.104992597802374,0.297509242993961
"K08D12.6",135.867523095323,0.940674841307979,0.580298342057895,1.62101935010204,0.10501348885639,0.297509242993961
"C02H7.3",278.189448065317,-0.412917081465269,0.254732099537031,-1.62098566382382,0.105020713332088,0.297509242993961
"Y49E10.20",2990.70612821221,0.19238395480714,0.11869741000938,1.62079319836832,0.10506199770554,0.297579494834882
"psW09G12.3",5.4353394223868,-1.65064496615962,1.01872653878194,-1.6203023120741,0.105167352502334,0.297811460147258
"C44C1.1",382.80617479583,0.540528878923924,0.333617419899777,1.62020580066324,0.105188075794497,0.297811460147258
"F33E11.2",561.525320234173,0.247424743396727,0.152714255153729,1.62018105741116,0.105193389280312,0.297811460147258
"Y18D10A.1",3112.16886185861,0.343040975577705,0.211746655494803,1.62005380805707,0.105220718787832,0.297842119309889
"Y110A7A.11",761.589651420776,-0.294955988794008,0.182099815440579,-1.61974897163064,0.10528621181773,0.297963006382338
"H39E23.2",2.36269815223501,3.20765089154377,1.9803964631854,1.61970138362314,0.10529643885175,0.297963006382338
"T23E7.5",2.46281545187841,-2.0988272493769,1.29587910443412,-1.61961655388634,0.105314671379018,0.297967889194772
"W03F8.3",1413.04610793061,-0.214107646076921,0.132219706550878,-1.61933233450743,0.105375777150175,0.29809405317941
