"","Common_Name","N2_1","N2_2","prg-1 disl-2_1","prg-1 disl-2_2","prg-1 disl-2_3","Fold_Change","padj"
"C08B6.10","C08B6.10",54.9997856051114,36.2519372561763,95.4467730834548,76.4163539717432,87.0257143745705,1.91672973717074,0.00749664869522704
"F37B1.2","gst-12",11.9247712058788,11.8497714074937,29.3913723337851,31.8515133034439,28.0292111248932,2.50343938792524,0.00751016089942186
"C29F7.4","fkh-3",274.052831428468,269.708606857679,178.196615950471,194.474860279472,219.040723232242,-1.37726500201289,0.0075258326048928
"T21B10.4","T21B10.4",1059.33883365029,1020.12992462084,939.816573911099,799.978888482391,833.779586428968,-1.21115841102594,0.00754693902015084
"F53E4.1","F53E4.1",433.750608685963,425.869496990878,299.121203752452,367.247259612423,286.402091462475,-1.35389369252368,0.00755589348171263
"Y39E4B.7","dhhc-8",1089.80956553782,1060.19702200655,895.213465277613,958.116799815093,756.898605048387,-1.23576678635933,0.00756488837183869
"ZK849.6","ZK849.6",0,0,7.20614391462809,6.30548712151645,4.35891912025086,36.9541131212012,0.00757580525649811
"K02E11.3","K02E11.3",22.1320110182495,25.3739590146348,54.7385044209505,47.5559809756988,55.7543231788678,2.20636881066894,0.00760207914684652
"F45C12.2","ceh-82",33.5389704198603,25.5566116028732,10.8177274160495,11.2870723485224,10.8304180448124,-2.67261383955734,0.0076218122510849
"K01C8.5","gei-14",2850.17838684915,2515.10759230156,2388.56213456749,2303.2203568102,2268.82174936695,-1.15463151751532,0.00762865011773443
"Y105E8A.3","slc-30A5",2312.73594024452,2235.28612875462,1917.35113777225,2013.93845802814,1965.4570197535,-1.15643887423534,0.00765042071977652
"F40G9.7","F40G9.7",0,0,7.76435980174712,14.4282965392783,1.04328271841845,42.5043679780185,0.00765042071977652
"Y74C10AR.3","abtm-1",1561.11693480297,1472.30567587047,1344.5309937531,1339.04661385126,1197.62884671658,-1.17167649371052,0.00765346904854341
"T21C12.1","unc-49",86.5255019598221,102.771559921472,119.811002757759,175.562531040885,206.688507303247,1.75483169360165,0.00768177245174245
"F22E5.8","F22E5.8",4.80502190698683,3.42176186621116,13.8013811590174,23.579362992711,17.5360810802273,4.52756467889864,0.00768999417440399
"K06H7.9","idi-1",789.871798142087,760.627356525159,644.653590398481,522.421408446276,680.570819278192,-1.25745915456483,0.00769496232283345
"F14D7.10","F14D7.10",0,0,9.43188815458896,2.077659726406,7.10671199159235,35.5440459986883,0.00770267107721032
"Y52B11A.3","Y52B11A.3",965.416292760843,928.740694360008,841.706542848068,735.568962316883,718.875658486286,-1.2368395825373,0.00770275015739879
"ZC404.2","ZC404.2",3.25565351115757,2.21449785156509,19.9389379773603,11.5418961887599,14.1346709698598,5.72569102010858,0.00771038903573165
"C14B1.10","alkb-8",1781.23620499504,1611.12757559619,1485.30542480362,1506.17453062177,1330.73297562278,-1.17603352816782,0.00771623840338948
"ZK20.5","rpn-12",2935.24665726883,2575.81512115825,2401.78739529003,2074.38496721362,2440.21697729415,-1.19390948399647,0.007716321154834
"C35D10.3","C35D10.3",1.19190654884178,0.845830245180248,24.4828654729643,8.22088529252472,12.0339258873901,14.9698666516906,0.00771659630248686
"C35D10.1","C35D10.1",1094.35842496183,990.433186434526,856.648937640735,882.105887121907,885.744834565499,-1.18916871656065,0.00771659630248686
"C41D11.10","C41D11.10",0,0,4.86150553924913,7.21013459636259,9.31460083219801,38.9467998256829,0.00772353398874373
"C50B8.2","bir-2",935.38340166905,918.181468374404,789.094446074514,786.812524921969,761.651860840646,-1.18901782084204,0.00772840298804658
"W09G10.5","clec-126",10.6401756649253,8.36015860137155,29.1761487791349,27.80831109005,39.2866504912326,3.40812317823165,0.00774011857996889
"ZK896.1","ZK896.1",16.9555087806826,18.1793851975584,47.6457377682579,59.3036921065194,29.3114636978027,2.57427804571128,0.00774897096629817
"T08H4.3","ast-1",28.9845205686776,50.0025538486054,12.8734092484553,9.21094950530669,16.2406379029331,-3.10697927800964,0.00775832167644201
"T13B5.9","T13B5.9",45.8658741215453,42.2082375348117,74.2338575687066,63.4651046772426,95.7334309030402,1.77539870006019,0.00777799034249635
"F59G1.2","tsp-18",1.2109523196121,0,11.9101498717373,9.20269453015646,15.1355688766541,23.5446346838256,0.00778169313504039
"T04A8.9","dnj-18",553.674971585865,517.476457234969,471.265892885814,365.234082861017,403.903016096294,-1.29320393497335,0.00778169313504039
"C02C6.2","olrn-1",80.040732984439,136.180957445987,71.5494055301193,51.1005781479951,63.0413260771815,-1.76262053566751,0.00779684651503491
"Y39G8C.2","Y39G8C.2",4.80502190698683,4.27720233276396,28.5885752579645,14.3526557346936,22.4072147136237,4.82681413217837,0.00782189635188103
"F42D1.3","sprr-2",60.5171248580092,67.4609557613344,95.2408742683465,98.1786669574964,145.947360882299,1.76462836862265,0.00782767061393121
"K08F11.4","yars-2",1378.4068560197,1237.93887798114,1143.18595429711,1084.72990391947,1068.86935879703,-1.18820861200778,0.00783614603823456
"F39B2.4","sur-2",1287.2001984587,1041.94059180574,827.304443563358,1046.84527831396,742.607145447915,-1.33398230775974,0.00783614603823456
"F13B9.5","ksr-1",320.903773806704,397.74828984031,235.973819171312,283.89321661444,252.858577081116,-1.40011912815666,0.00784524880974188
"Y102A5C.36","Y102A5C.36",39.6567300392857,21.1283520026977,7.33364188709271,8.36933549491873,9.40616496279675,-3.62339913716013,0.00784524880974188
"F18C12.4","F18C12.4",1.18961928845503,0,6.84403621344851,16.4505666445908,18.1806547687935,27.2966622738402,0.00784788715987012
"K09C6.1","K09C6.1",1.21437134754943,3.47644322617957,24.8716083753295,9.19386195256656,17.7902636508077,7.02509970382444,0.00785127790998327
"K07E3.7","catp-5",116.601436585251,140.812905116161,200.607728661275,180.876308719667,183.552352926353,1.45447028770325,0.00786479945417638
"T10H10.1","hum-6",522.059672216882,820.571009306336,502.277575095475,458.977237074411,464.404822513638,-1.41753477167452,0.00786613894823361
"F58E2.3","F58E2.3",18.2204521792173,33.9086803999384,54.7298360585311,79.672764851003,44.9001634411099,2.24519206427206,0.00789076557229705
"Y62E10A.12","lsm-3",336.079070381158,336.117772905218,263.858682642887,230.667147813684,279.393811102692,-1.30438607177803,0.00790058249832365
"R07E4.4","mig-23",446.274050263131,448.422862149792,318.98289591625,325.003069737843,384.877212289536,-1.30352085572152,0.00790582768673253
"C32E8.9","C32E8.9",262.907805096523,318.78059888872,438.451384527124,355.811781736791,428.690238649463,1.39704980670467,0.00790868695958047
"F38H4.10","mob-1",712.31092692543,600.243681224441,432.989880834444,499.741093727211,557.312746892323,-1.3188288880964,0.00790975156727281
"C44B12.5","perm-4",994.609863663369,779.268657704349,1229.62538024858,2019.81195141476,1276.93973245068,1.70198289047377,0.00790988534368543
"F13E9.6","sdz-13",25.1952833177191,32.4482107631041,12.8022280622913,7.1790853696913,7.82933931851164,-3.12045253339063,0.00791200020537544
"F45H10.2","F45H10.2",653.831004620701,597.274283543758,480.585513162053,475.169976121482,548.59990174928,-1.24785426818105,0.00792166633544219
"C56G7.2","C56G7.2",3.62170357971523,3.44656095366128,19.7989796130894,13.3063428709186,19.1328978294312,4.94519981499829,0.00793177475167789
"T19B10.12","T19B10.12",0,0,4.45338256088879,16.8761180725893,3.05998324669166,51.3526119538271,0.00793524462840628
"F38A5.1","odr-8",2568.31640778649,2523.93461972637,2328.77305819206,2171.19495040567,2228.59527873525,-1.13486623935858,0.00794855886195249
"T09F3.4","T09F3.4",237.779708253645,252.961016307306,176.648500639156,161.216747439126,202.697058621152,-1.36349260635,0.00796943747904846
"Y52E8A.2","Y52E8A.2",701.471294085498,587.43356114818,480.802784570319,404.133855785507,537.475737374605,-1.35645341326284,0.00797989017008911
"C25E10.3","srsx-34",101.654121919049,128.661941595276,172.848915054711,151.483944304892,201.780462830606,1.51373184388539,0.00799244296383422
"B0213.6","nlp-31",65.8629879920532,41.2869336476202,85.9355093186425,92.126387594012,115.602349994141,1.8433528820246,0.00799244296383422
"W04C9.5","W04C9.5",15.6952584345715,16.3730056469637,36.6304889748655,33.7767881054381,40.16776701251,2.29570071292642,0.00800059783662161
"C39F7.2","madd-2",261.039158969708,295.519143295619,163.749780968264,220.89114813656,212.975816467139,-1.40032596834835,0.00800853021287921
"F25D1.1","ppm-1.A",4684.79528165766,4452.64167726112,3985.93175320418,4157.45813750789,3981.79368213567,-1.12993746386661,0.00801872523462419
"Y66D12A.21","Y66D12A.21",499.141598884654,438.180519830486,339.271938558157,370.496574082596,333.457702171157,-1.3451684681153,0.00802491995447995
"Y106G6A.2","epg-8",1495.69408263307,1306.21488821573,1154.44736497777,1160.13457460122,1148.97937570009,-1.21149408493805,0.00804041956346109
"K09C6.2","K09C6.2",0,0,5.93488223823751,5.1194275455456,10.560202241225,38.5074686034465,0.0080433702534066
"Y48G1A.3","daf-25",839.66877894185,702.157219813088,624.0687456548,611.938459589688,638.212633230956,-1.22958845191259,0.00805632201929186
"Y55F3AR.1","cox-18",489.008584778506,465.443113373515,409.043599906957,369.782570292541,344.417190141426,-1.27334900756029,0.00806577375794203
"F08H9.1","coh-3",1350.76540356773,1304.22664097213,1074.89439330912,1155.60607694565,1140.17911897058,-1.18079597028083,0.00806741685100925
"W02D9.4","W02D9.4",310.29967397234,296.545388961915,209.507212526678,222.649155179155,236.119435613395,-1.36073450677765,0.00807501758826334
"K02H8.1","mbl-1",64.4599793075968,83.2919842994918,91.8881083225764,150.569412038155,135.141115159785,1.68652954743877,0.00809793302311007
"F40G9.3","ubc-20",1216.67890980924,1189.73797704746,1068.3313870121,972.455027786688,1030.43766343173,-1.17453455732939,0.00811526802201324
"Y51A2D.21","Y51A2D.21",31.3190213730945,28.4758656444499,45.9305454219123,61.0572154971325,73.310002414487,2.01094734584903,0.0081193595816789
"C18H9.8","ift-74",24.2906314084168,53.0260442380791,7.95979531160065,7.15045598713304,17.7817523235183,-3.53627797617341,0.00813740805083391
"T27F2.3","bir-1",751.16244652519,634.151607673515,550.462088058891,559.867556171855,543.881866968676,-1.25230407411427,0.00813740805083391
"C02C6.1","dyn-1",907.129552158337,996.532488800943,712.614369236913,847.389093439569,534.856834369583,-1.36493473428361,0.00814077950087963
"T10C6.16","T10C6.16",14.0221196414366,13.9778424265993,1.92584043574374,1.0330335142706,5.40137296787843,-5.09616820915697,0.0081585557232079
"F43C11.1","F43C11.1",0,0,2.99599645818857,6.33986385132778,8.46079234717429,32.4889925207598,0.00817755609560479
"ZK813.3","ZK813.3",2447.09765909775,2650.60536471906,3795.50581382094,2468.90441235158,3779.45409653242,1.31324985993866,0.00818099873027738
"T04G9.4","T04G9.4",113.084537986795,167.16801350349,260.578588551864,166.003848151411,247.085437988002,1.59149110393129,0.00818497473558023
"Y57G11C.33","Y57G11C.33",588.224645508833,545.769553304585,477.981202039134,475.622812478156,394.02391327673,-1.25983730826229,0.00820731273083661
"2L52.1","2L52.1",223.775256356128,222.074618331309,170.551416157053,137.069284364229,151.974993355529,-1.4544636078897,0.00821895661872943
"W04B5.3","W04B5.3",188.691797600705,220.337571687797,264.745220582342,285.393130297762,272.63240884728,1.33367906017082,0.00822131995980964
"C26E6.1","C26E6.1",0,0,5.86725069745602,5.14052947170128,10.0933047342616,38.1641141931695,0.00827404480805857
"T22A3.12","T22A3.12",3.56167222036959,0,15.6167615210538,13.3738596933392,15.2652604538405,9.38400976201171,0.00828467946430906
"Y59A8B.12","Y59A8B.12",678.102719456203,609.030486387075,485.350816193977,505.488412046537,568.607363688429,-1.23683743381862,0.00828467946430906
"C01B10.11","C01B10.11",329.773328561879,428.907901240767,474.941186321788,483.598586660554,535.945427686279,1.30594823232546,0.0083132929922958
"T08E11.4","math-41",216.248104587493,305.244708937115,181.128527655858,187.936366856317,142.10740413811,-1.53850327802774,0.00832996940391104
"C16C4.6","fbxb-98",18.1078134248919,14.6470526493992,4.94958278191927,3.07073356273578,2.87034288849875,-4.49158846097693,0.00833246681129066
"C27A12.10","mbd-2",608.257895177957,569.762793169741,470.32399216296,431.517127962298,496.230473300567,-1.26202182737209,0.00833984188994365
"F16G10.10","F16G10.10",0,0,9.76746559886388,8.22808928697219,4.05794846887389,39.9781161555928,0.00835399546153017
"R07C3.7","fbxc-29",39.8936051289689,58.7094110420168,12.8842502417868,21.485129469377,22.8443567674418,-2.59878370041017,0.00836044339997919
"Y6E2A.4","Y6E2A.4",2.42462540357422,3.46779175270422,22.8493248421108,10.2213364589201,16.958100964182,5.55925652467595,0.00837021986087733
"C47C12.3","ref-2",48.4482538443696,50.3679368752904,26.8299581404003,7.21878617553629,21.4306143513185,-2.6653780472445,0.00837021986087733
"Y57G11C.39","Y57G11C.39",13.1271967858892,11.8626999977723,0,0,0,-67.7828339832884,0.00837913631895774
