"small_rna","small_rna_class","small_rna_mean","small_rna_fold_change","small_rna_p_value","mrna_target","mrna_class","mrna_mean","mrna_fold_change","mrna_p_value"
"WBGene00012361","CSR",225.681,0.45,0.107,"WBGene00012361","CSR",912.745,-0.077,0.788
"WBGene00012362","CSR",210.448,0.437,0.147,"WBGene00012362","CSR",1142.798,0.366,0.014
"WBGene00012363","unk",29.132,-0.482,0.567,"WBGene00012363","unk",63.611,0.212,0.835
"WBGene00012364","unk",2.806,0.024,0.994,"WBGene00012364","unk",801.757,0.668,0
"WBGene00012365","WAGO",71.605,-1.736,0,"WBGene00012365","WAGO",406.967,-0.35,0.219
"WBGene00012366","WAGO",762.732,-4.583,0,"WBGene00012366","WAGO",453.861,-0.236,0.393
"WBGene00012368","WAGO",1467.67,3.611,0,"WBGene00012368","WAGO",68.833,-0.668,0.348
"WBGene00012369","CSR",428.51,0.088,0.755,"WBGene00012369","CSR",1167.861,-0.213,0.374
"WBGene00012370","unk",450.481,0.924,0,"WBGene00012370","unk",543.013,-0.106,0.753
"WBGene00012371","unk",67.274,0.425,0.432,"WBGene00012371","unk",245.463,0.212,0.629
"WBGene00012372","unk",3.336,-0.314,0.906,"WBGene00012372","unk",12.233,-0.302,0.902
"WBGene00012374","WAGO",23161.906,-0.288,0.011,"WBGene00012374","WAGO",60.626,0.954,0.146
"WBGene00012375","unk",332.319,-1.937,0,"WBGene00012375","unk",1648.07,-0.018,0.948
"WBGene00012376","CSR",103.792,0.767,0.058,"WBGene00012376","CSR",2536.74,0.209,0.084
"WBGene00012379","ALG",10.272,7.101,0,"WBGene00012379","ALG",13.867,3.751,0.012
"WBGene00012381","unk",6.245,-0.648,0.756,"WBGene00012381","unk",44.206,-0.096,0.943
"WBGene00012382","unk",6.124,1.029,0.552,"WBGene00012382","unk",4531.966,0.623,0
"WBGene00012385","unk",166.434,0.364,0.271,"WBGene00012385","unk",1575.961,0.227,0.168
"WBGene00012386","CSR",825.483,0.462,0.008,"WBGene00012386","CSR",1181.109,0.069,0.787
"WBGene00012387","unk",135.692,0.129,0.761,"WBGene00012387","unk",38.139,-0.027,0.986
"WBGene00012388","unk",49.303,-0.863,0.131,"WBGene00012388","unk",4.386,4.022,0.198
"WBGene00012389","CSR",216.509,-0.155,0.669,"WBGene00012389","CSR",3152.094,-0.099,0.524
"WBGene00012390","unk",191.997,-0.4,0.205,"WBGene00012390","unk",403.649,-0.054,0.911
"WBGene00012391","unk",72.362,-0.612,0.202,"WBGene00012391","unk",8.296,-0.648,0.81
"WBGene00012393","unk",2195.555,-0.429,0.001,"WBGene00012393","unk",555.617,-0.755,0.427
"WBGene00012395","CSR",1236.164,0.463,0.002,"WBGene00012395","CSR",1479.347,-0.099,0.621
"WBGene00012396","WAGO",2135.762,-1.683,0,"WBGene00012396","WAGO",29.86,-0.044,0.98
"WBGene00012398","unk",2.079,-0.453,0.89,"WBGene00012398","unk",4.997,1.201,0.698
"WBGene00012402","ALG",14.417,4.504,0,"WBGene00012402","ALG",2.679,4.601,0.219
"WBGene00012404","unk",22.704,-0.106,0.92,"WBGene00012404","unk",77.933,1.116,0.038
"WBGene00012405","WAGO",241.202,0.681,0.009,"WBGene00012405","WAGO",206.88,0.219,0.641
"WBGene00012407","WAGO",1011.554,-2.899,0,"WBGene00012407","WAGO",1584.516,0.504,0
"WBGene00012408","unk",6.748,0.836,0.623,"WBGene00012408","unk",10.129,-0.162,0.954
"WBGene00012416","unk",11.905,0.127,0.931,"WBGene00012416","unk",131.967,0.137,0.863
"WBGene00012418","unk",19.331,0.635,0.52,"WBGene00012418","unk",27.616,0.364,0.804
"WBGene00012420","unk",164.73,-4.645,0,"WBGene00012420","unk",59.116,-0.975,0.134
"WBGene00012421","unk",13.78,-2.801,0.019,"WBGene00012421","unk",77.353,-0.301,0.752
"WBGene00012423","CSR",148.391,0.275,0.456,"WBGene00012423","CSR",1049.665,0.279,0.094
"WBGene00012424","unk",5.392,-0.586,0.769,"WBGene00012424","unk",56.802,-0.491,0.548
"WBGene00012426","unk",23.696,0.073,0.944,"WBGene00012426","unk",3.376,0.432,0.926
"WBGene00012428","unk",49.529,4.035,0,"WBGene00012428","unk",559.125,1.022,0
"WBGene00012431","WAGO",163.695,-1.408,0,"WBGene00012431","WAGO",572.216,0.386,0.081
"WBGene00012432","unk",2.985,-1.122,0.666,"WBGene00012432","unk",17.895,0.497,0.776
"WBGene00012433","unk",36.232,-4.253,0,"WBGene00012433","unk",43.407,-1.561,0.028
"WBGene00012434","unk",125.287,-0.343,0.376,"WBGene00012434","unk",604.082,0.36,0.101
"WBGene00012435","CSR",197.228,0.662,0.02,"WBGene00012435","CSR",3718.516,0.078,0.606
"WBGene00012436","CSR",44.627,-0.269,0.706,"WBGene00012436","CSR",1056.448,-0.546,0
"WBGene00012437","unk",7.324,-1.123,0.485,"WBGene00012437","unk",122.483,-0.587,0.292
"WBGene00012440","unk",3.318,2.136,0.353,"WBGene00012440","unk",22.689,-0.715,0.593
"WBGene00012441","unk",4.5,0.85,0.686,"WBGene00012441","unk",10.162,-0.02,0.995
"WBGene00012442","WAGO",574.228,-6.103,0,"WBGene00012442","WAGO",18.865,-0.109,0.957
"WBGene00012443","unk",85.485,0.434,0.35,"WBGene00012443","unk",359.093,-0.16,0.701
"WBGene00012444","unk",8.914,-0.133,0.936,"WBGene00012444","unk",70.91,-0.235,0.801
"WBGene00012445","WAGO",41.363,0.852,0.179,"WBGene00012445","WAGO",3017.397,0.502,0
"WBGene00012446","unk",22.909,0.037,0.973,"WBGene00012446","unk",70.137,-0.099,0.924
"WBGene00012448","unk",6.283,-1.296,0.447,"WBGene00012448","unk",10.443,0.376,0.885
"WBGene00012449","unk",8.639,-2.68,0.069,"WBGene00012449","unk",26.652,0.324,0.844
"WBGene00012450","unk",2.124,0.628,0.846,"WBGene00012450","unk",22.926,1.164,0.302
"WBGene00012451","unk",1.828,1.767,0.605,"WBGene00012451","unk",3.736,0.448,0.916
"WBGene00012452","ERGO",12711.898,0.54,0,"WBGene00012452","ERGO",86.511,0.113,0.908
"WBGene00012457","unk",24.759,-0.29,0.757,"WBGene00012457","unk",49.601,1.095,0.115
"WBGene00012458","unk",369.483,-0.122,0.655,"WBGene00012458","unk",1499.153,0.019,0.942
"WBGene00012459","CSR",65.495,0.43,0.423,"WBGene00012459","CSR",617.32,0.179,0.497
"WBGene00012460","unk",168.389,-0.193,0.606,"WBGene00012460","unk",316.076,-0.084,0.863
"WBGene00012461","unk",33.873,-0.181,0.83,"WBGene00012461","unk",14.444,-0.218,0.922
"WBGene00012462","unk",104.625,-2.688,0,"WBGene00012462","unk",207.642,-0.086,0.898
"WBGene00012463","CSR",214.731,0.684,0.015,"WBGene00012463","CSR",1446.834,0.027,0.918
"WBGene00012464","unk",38.325,-3.741,0,"WBGene00012464","unk",180.861,0.31,0.548
"WBGene00012465","unk",523.218,0.319,0.124,"WBGene00012465","unk",638.107,-0.001,0.999
"WBGene00012466","CSR",160.333,-0.187,0.642,"WBGene00012466","CSR",1100.218,0.095,0.686
"WBGene00012467","unk",5.526,-1.752,0.344,"WBGene00012467","unk",37.834,1.024,0.223
"WBGene00012468","CSR",91.26,-0.688,0.122,"WBGene00012468","CSR",1040.254,0.038,0.901
"WBGene00012469","CSR",382.883,0.352,0.127,"WBGene00012469","CSR",714.436,0.239,0.259
"WBGene00012470","unk",7.838,0.091,0.96,"WBGene00012470","unk",7.587,1.082,0.661
"WBGene00012471","CSR",2285.681,0.995,0,"WBGene00012471","CSR",4705.78,0.157,0.135
"WBGene00012472","CSR",965.129,1.209,0,"WBGene00012472","CSR",1579.148,0.164,0.318
"WBGene00012473","unk",2.384,-1.732,0.564,"WBGene00012473","unk",4.944,-1.281,0.686
"WBGene00012474","CSR",1477.891,-0.006,0.978,"WBGene00012474","CSR",2421.715,-0.003,0.991
"WBGene00012475","unk",3.805,-0.539,0.822,"WBGene00012475","unk",3.197,5.06,0.141
"WBGene00012476","unk",14.311,-1.584,0.138,"WBGene00012476","unk",113.305,0.253,0.718
"WBGene00012477","unk",7.681,-0.952,0.581,"WBGene00012477","unk",8.393,-0.599,0.823
"WBGene00012478","unk",37.984,-1.325,0.041,"WBGene00012478","unk",179.371,-0.029,0.967
"WBGene00012479","CSR",332.008,0.04,0.896,"WBGene00012479","CSR",787.978,-0.13,0.625
"WBGene00012480","unk",10.161,-1.632,0.216,"WBGene00012480","unk",20.663,1.26,0.291
"WBGene00012481","CSR",956.728,0.578,0.001,"WBGene00012481","CSR",3852.299,-0.251,0.024
"WBGene00012483","CSR",215.396,0.928,0.001,"WBGene00012483","CSR",226.061,-0.168,0.737
"WBGene00012484","CSR",2543.826,0.542,0,"WBGene00012484","CSR",5949.296,0.001,0.995
"WBGene00012485","unk",130.384,-2.603,0,"WBGene00012485","unk",57.847,0.812,0.242
"WBGene00012486","ALG",185.396,1.884,0,"WBGene00012486","ALG",7.866,2.07,0.3
"WBGene00012487","unk",15.788,-2.946,0.008,"WBGene00012487","unk",317.829,0.264,0.499
"WBGene00012489","unk",26.243,0.647,0.437,"WBGene00012489","unk",41.733,-0.387,0.741
"WBGene00012490","WAGO",845.833,-7.292,0,"WBGene00012490","WAGO",16.441,-1.112,0.444
"WBGene00012491","unk",61.929,-2.305,0,"WBGene00012491","unk",48.353,0.839,0.286
"WBGene00012492","WAGO",494.253,-5.399,0,"WBGene00012492","WAGO",280.146,1.031,0
"WBGene00012494","unk",16.103,-0.397,0.73,"WBGene00012494","unk",91.982,-0.033,0.973
"WBGene00012496","CSR",671.034,0.708,0,"WBGene00012496","CSR",2088.503,-0.282,0.037
"WBGene00012497","CSR",359.798,0.852,0,"WBGene00012497","CSR",3879.38,-0.06,0.794
"WBGene00012498","ERGO",2769.718,0.074,0.646,"WBGene00012498","ERGO",105.296,0.673,0.185
"WBGene00012499","ERGO",2815.25,0.06,0.719,"WBGene00012499","ERGO",31.173,0.493,0.688
"WBGene00012500","unk",11.024,-3.512,0.012,"WBGene00012500","unk",26.399,2.851,0.002
"WBGene00012502","unk",2.244,-4.336,0.157,"WBGene00012502","unk",5.126,4.149,0.143
"WBGene00012512","unk",40.556,0.091,0.908,"WBGene00012512","unk",1045.021,-0.49,0.001
"WBGene00012513","unk",14.245,-0.658,0.574,"WBGene00012513","unk",67.939,0.276,0.754
"WBGene00012514","unk",14.334,-0.001,0.999,"WBGene00012514","unk",127.733,0.89,0.028
"WBGene00012521","unk",35.809,-1.16,0.078,"WBGene00012521","unk",4.027,1.385,0.676
"WBGene00012522","CSR",737.013,0.042,0.859,"WBGene00012522","CSR",2949.114,0.031,0.888
"WBGene00012523","unk",32.606,-2.671,0,"WBGene00012523","unk",3.506,0.281,0.951
"WBGene00012524","CSR",1312.16,0.105,0.553,"WBGene00012524","CSR",2797.295,0.049,0.817
"WBGene00012527","unk",496.774,0.047,0.874,"WBGene00012527","unk",1467.64,-0.084,0.716
"WBGene00012528","CSR",258.744,0.513,0.053,"WBGene00012528","CSR",3158.201,0.228,0.042
"WBGene00012529","unk",20.419,0.361,0.722,"WBGene00012529","unk",613.846,-0.138,0.632
"WBGene00012530","WAGO",3.787,1.451,0.505,"WBGene00012530","WAGO",2877.96,0.461,0
"WBGene00012531","unk",8.108,0.884,0.559,"WBGene00012531","unk",452.338,0.544,0.017
"WBGene00012532","unk",5.417,-0.742,0.708,"WBGene00012532","unk",106.206,0,1
"WBGene00012533","unk",2282.091,1.291,0,"WBGene00012533","unk",16.765,0.725,0.675
"WBGene00012535","unk",14.45,-0.928,0.427,"WBGene00012535","unk",119.31,0.748,0.101
"WBGene00012536","unk",5.947,-1.394,0.485,"WBGene00012536","unk",92.747,0.41,0.533
"WBGene00012537","unk",20.24,0.526,0.587,"WBGene00012537","unk",2.418,1.144,0.81
"WBGene00012538","unk",12.933,0.136,0.927,"WBGene00012538","unk",1892.049,0.161,0.328
"WBGene00012543","CSR",2852.431,0.538,0,"WBGene00012543","CSR",2882.838,0.13,0.363
"WBGene00012544","unk",103.151,-0.485,0.237,"WBGene00012544","unk",3615.731,0.349,0.001
"WBGene00012545","unk",37.522,-3.39,0,"WBGene00012545","unk",228.128,0.823,0.004
"WBGene00012546","unk",79.037,-0.878,0.058,"WBGene00012546","unk",1131.892,0.224,0.2
"WBGene00012547","WAGO",119.45,-4.207,0,"WBGene00012547","WAGO",26.65,5.646,0
"WBGene00012548","WAGO",17796.072,0.461,0,"WBGene00012548","WAGO",170.538,0.174,0.763
"WBGene00012549","WAGO",35.574,-1.713,0.01,"WBGene00012549","WAGO",12.774,2.567,0.072
"WBGene00012550","unk",570.803,0.051,0.84,"WBGene00012550","unk",2283.467,-0.017,0.948
"WBGene00012551","CSR",1218.324,0.763,0,"WBGene00012551","CSR",1962.868,0.102,0.55
"WBGene00012552","unk",4306.031,-1.369,0,"WBGene00012552","unk",232.783,2.074,0
"WBGene00012553","CSR",147.391,-1.034,0.001,"WBGene00012553","CSR",5799.369,0.083,0.545
"WBGene00012554","WAGO",930.769,-6.001,0,"WBGene00012554","WAGO",187.681,-0.612,0.086
"WBGene00012555","unk",504.069,0.603,0.003,"WBGene00012555","unk",220.581,-0.253,0.587
"WBGene00012556","CSR",48.458,0.724,0.209,"WBGene00012556","CSR",601.938,-0.058,0.88
"WBGene00012557","unk",19.998,0.937,0.309,"WBGene00012557","unk",3390.312,0.265,0.009
"WBGene00012558","CSR",362.827,0.875,0,"WBGene00012558","CSR",938.313,-0.053,0.859
"WBGene00012559","CSR",432.889,0.781,0,"WBGene00012559","CSR",563.162,0.257,0.388
"WBGene00012560","unk",158.406,-0.3,0.453,"WBGene00012560","unk",252.787,0.483,0.141
"WBGene00012562","CSR",639.846,0.584,0.002,"WBGene00012562","CSR",978.354,0.065,0.817
"WBGene00012564","WAGO",486.105,-0.352,0.136,"WBGene00012564","WAGO",346.636,1.45,0
"WBGene00012565","unk",702.182,0.159,0.458,"WBGene00012565","unk",1292.646,0.243,0.176
"WBGene00012566","unk",109.022,-0.895,0.03,"WBGene00012566","unk",255.494,-0.104,0.845
"WBGene00012567","unk",63.938,-2.263,0,"WBGene00012567","unk",55.976,0.411,0.661
"WBGene00012568","WAGO",85.829,-4.393,0,"WBGene00012568","WAGO",98.235,-0.546,0.417
"WBGene00012569","WAGO",143.651,-2.817,0,"WBGene00012569","WAGO",132.613,-0.111,0.886
"WBGene00012573","unk",8.663,0.039,0.982,"WBGene00012573","unk",13.599,-0.95,0.606
"WBGene00012576","unk",1512.62,-1.074,0,"WBGene00012576","unk",451.985,-0.193,0.526
"WBGene00012577","WAGO",36856.339,0.433,0,"WBGene00012577","WAGO",19.254,0.899,0.52
"WBGene00012578","CSR",366.629,0.78,0,"WBGene00012578","CSR",736.875,-0.178,0.46
"WBGene00012581","unk",18.388,-3.227,0.002,"WBGene00012581","unk",54.055,-0.589,0.505
"WBGene00012582","unk",8.251,0.367,0.825,"WBGene00012582","unk",28.894,0.531,0.67
"WBGene00012583","unk",47.976,0.175,0.801,"WBGene00012583","unk",54.771,-1.291,0.041
"WBGene00012584","CSR",700.391,-0.687,0,"WBGene00012584","CSR",1559.358,0.023,0.932
"WBGene00012585","unk",32.745,-1.97,0.005,"WBGene00012585","unk",400.263,0.811,0
"WBGene00012588","unk",6.475,0.128,0.948,"WBGene00012588","unk",34.192,-0.062,0.969
"WBGene00012589","unk",2.737,-2.938,0.308,"WBGene00012589","unk",17.289,0.54,0.76
"WBGene00012592","unk",280.839,1.302,0,"WBGene00012592","unk",165.492,0.924,0.007
"WBGene00012595","ALG",6.111,4.846,0.027,"WBGene00012595","ALG",30.235,2.766,0.001
"WBGene00012597","unk",2.865,1.854,0.466,"WBGene00012597","unk",11.907,2.718,0.066
"WBGene00012600","CSR",119.483,0.276,0.535,"WBGene00012600","CSR",1800.265,-0.201,0.149
"WBGene00012602","unk",131.618,-1.147,0.001,"WBGene00012602","unk",537.898,0.1,0.774
"WBGene00012605","ALG",57.913,3.644,0,"WBGene00012605","ALG",32.517,1.309,0.144
"WBGene00012606","unk",42.362,-1.807,0.003,"WBGene00012606","unk",183.195,-0.347,0.44
"WBGene00012607","unk",3.157,-0.05,0.985,"WBGene00012607","unk",3.069,-0.546,0.916
"WBGene00012609","unk",14.577,2.436,0.027,"WBGene00012609","unk",3.996,2.566,0.427
"WBGene00012610","WAGO",121.456,-5.839,0,"WBGene00012610","WAGO",67.066,0.119,0.911
"WBGene00012614","unk",16.305,-0.376,0.75,"WBGene00012614","unk",3.707,-3.884,0.256
"WBGene00012615","unk",65.891,-0.961,0.049,"WBGene00012615","unk",7476.483,0.674,0
"WBGene00012618","WAGO",8292.497,1.372,0,"WBGene00012618","WAGO",23.321,1.511,0.149
"WBGene00012621","unk",457.154,0.311,0.148,"WBGene00012621","unk",10.903,1.745,0.305
"WBGene00012622","unk",23.492,-2.994,0.001,"WBGene00012622","unk",10.889,-0.203,0.938
"WBGene00012623","WAGO",9452.888,0.234,0.06,"WBGene00012623","WAGO",88.403,-0.044,0.966
"WBGene00012624","WAGO",2374.272,-5.923,0,"WBGene00012624","WAGO",127.738,0.645,0.144
"WBGene00012626","unk",65.716,-3.688,0,"WBGene00012626","unk",18.878,-1.578,0.177
"WBGene00012627","ALG",19.861,4.532,0,"WBGene00012627","ALG",8.825,1.683,0.379
"WBGene00012628","unk",11.237,-1.435,0.246,"WBGene00012628","unk",37.724,-1.547,0.04
"WBGene00012631","unk",1.883,-0.197,0.955,"WBGene00012631","unk",22.714,0.275,0.875
"WBGene00012632","WAGO",277.299,-6.014,0,"WBGene00012632","WAGO",31.832,-1.236,0.199
"WBGene00012634","unk",6.201,0.588,0.753,"WBGene00012634","unk",171.826,-0.049,0.944
"WBGene00012635","unk",7.305,-0.876,0.61,"WBGene00012635","unk",21.464,-2.098,0.041
"WBGene00012637","ALG",3.809,3.025,0.189,"WBGene00012637","ALG",45.081,3.341,0
"WBGene00012638","ALG",2.247,4.899,0.112,"WBGene00012638","ALG",14.062,4.05,0.007
"WBGene00012639","WAGO",428.624,3.187,0,"WBGene00012639","WAGO",5.66,0.298,0.938
"WBGene00012640","WAGO",351.501,1.09,0,"WBGene00012640","WAGO",386.667,-0.038,0.935
"WBGene00012641","CSR",690.706,-0.402,0.025,"WBGene00012641","CSR",2448.184,-0.057,0.775
"WBGene00012642","ALG",2.014,4.759,0.136,"WBGene00012642","ALG",4.623,3.902,0.202
"WBGene00012643","CSR",219.778,0.707,0.01,"WBGene00012643","CSR",712.443,0.024,0.948
"WBGene00012644","WAGO",424.827,-1.606,0,"WBGene00012644","WAGO",1495.917,0.126,0.482
"WBGene00012645","CSR",319.134,0.562,0.026,"WBGene00012645","CSR",600.789,0.101,0.747
"WBGene00012646","unk",63.846,-0.127,0.834,"WBGene00012646","unk",613.655,0.006,0.99
"WBGene00012647","CSR",24.256,1.451,0.064,"WBGene00012647","CSR",229.726,0.045,0.944
"WBGene00012648","unk",68.159,-2.781,0,"WBGene00012648","unk",22.239,-1.998,0.057
"WBGene00012650","CSR",678.083,0.273,0.151,"WBGene00012650","CSR",5498.936,-0.003,0.99
"WBGene00012651","CSR",526.988,-0.141,0.533,"WBGene00012651","CSR",1490.409,0.008,0.978
"WBGene00012652","CSR",502.972,0.773,0,"WBGene00012652","CSR",1061.716,0.072,0.783
"WBGene00012654","unk",12.415,0.154,0.916,"WBGene00012654","unk",45.467,0.377,0.726
"WBGene00012656","unk",11.05,-0.715,0.587,"WBGene00012656","unk",3.372,0.056,0.992
"WBGene00012657","CSR",71.867,0.063,0.916,"WBGene00012657","CSR",91.639,0.009,0.993
"WBGene00012658","CSR",198.053,-0.629,0.04,"WBGene00012658","CSR",402.126,-0.214,0.569
"WBGene00012659","unk",280.154,-0.775,0.002,"WBGene00012659","unk",2064.273,0.025,0.915
"WBGene00012660","ALG",68.828,0.174,0.77,"WBGene00012660","ALG",505.519,0.077,0.842
"WBGene00012662","unk",64.312,0.389,0.47,"WBGene00012662","unk",79.09,-0.713,0.254
"WBGene00012663","unk",268.25,-0.854,0.001,"WBGene00012663","unk",1920.446,0.019,0.941
"WBGene00012664","unk",47.597,-0.264,0.722,"WBGene00012664","unk",3522.877,0.813,0
"WBGene00012665","CSR",379.058,1.031,0,"WBGene00012665","CSR",1300.659,-0.206,0.219
"WBGene00012666","unk",483.303,-3.58,0,"WBGene00012666","unk",651.729,0.459,0.014
"WBGene00012668","unk",17.069,-0.806,0.439,"WBGene00012668","unk",159.71,1.068,0.004
"WBGene00012670","unk",108.232,-0.516,0.216,"WBGene00012670","unk",11.89,-1.189,0.503
"WBGene00012671","WAGO",62.692,-3.504,0,"WBGene00012671","WAGO",5.591,0.889,0.777
"WBGene00012672","CSR",47.252,0.174,0.825,"WBGene00012672","CSR",694.989,-0.684,0
"WBGene00012673","unk",20053.599,6.492,0,"WBGene00012673","unk",32.054,-1.034,0.266
"WBGene00012674","CSR",348.01,2.044,0,"WBGene00012674","CSR",332.859,-0.48,0.071
"WBGene00012675","WAGO",272.053,-1.95,0,"WBGene00012675","WAGO",738.992,-0.112,0.695
"WBGene00012676","CSR",700.384,0.281,0.134,"WBGene00012676","CSR",2414.37,0.004,0.988
"WBGene00012678","CSR",348.93,0.793,0.001,"WBGene00012678","CSR",244.82,-0.34,0.368
"WBGene00012679","unk",9.058,0.497,0.768,"WBGene00012679","unk",12.27,3.544,0.025
"WBGene00012680","unk",11.418,0.829,0.519,"WBGene00012680","unk",50.15,0.244,0.828
"WBGene00012683","unk",12.028,-2.775,0.028,"WBGene00012683","unk",138.47,3.139,0
"WBGene00012684","unk",19.784,-0.972,0.3,"WBGene00012684","unk",11.661,6.915,0.001
"WBGene00012688","unk",2.367,-0.597,0.844,"WBGene00012688","unk",7.712,0.136,0.968
"WBGene00012689","unk",6.89,1.305,0.431,"WBGene00012689","unk",28.257,3.921,0
"WBGene00012690","unk",4.587,-0.975,0.64,"WBGene00012690","unk",3.59,5.216,0.101
"WBGene00012692","CSR",999.862,0.284,0.094,"WBGene00012692","CSR",884.294,0.138,0.568
"WBGene00012693","CSR",379.274,0.552,0.022,"WBGene00012693","CSR",280.371,-0.161,0.91
"WBGene00012694","CSR",377.518,0.603,0.005,"WBGene00012694","CSR",1334.952,-0.073,0.766
"WBGene00012695","unk",1089.261,-1.093,0,"WBGene00012695","unk",1241.153,0.186,0.353
"WBGene00012696","CSR",167.193,0.445,0.166,"WBGene00012696","CSR",534.242,-0.142,0.647
"WBGene00012697","CSR",353.609,0.368,0.129,"WBGene00012697","CSR",1756.832,-0.008,0.976
"WBGene00012698","WAGO",847.682,1.263,0,"WBGene00012698","WAGO",246.352,-0.617,0.04
"WBGene00012699","WAGO",33.351,-1.667,0.014,"WBGene00012699","WAGO",35.348,0.091,0.951
"WBGene00012700","unk",543.333,0.838,0,"WBGene00012700","unk",258.413,-0.055,0.921
"WBGene00012701","CSR",157.03,-0.189,0.62,"WBGene00012701","CSR",979.489,0.068,0.806
"WBGene00012702","WAGO",5052.069,5.433,0,"WBGene00012702","WAGO",201.864,-0.998,0.001
"WBGene00012703","unk",48.385,-2.04,0,"WBGene00012703","unk",59.065,-0.866,0.204
"WBGene00012704","unk",47.302,-1.767,0.002,"WBGene00012704","unk",143.616,0.279,0.609
"WBGene00012708","unk",1.853,-4.058,0.224,"WBGene00012708","unk",3.916,0.57,0.903
"WBGene00012709","unk",11.026,-0.381,0.789,"WBGene00012709","unk",3.44,0.351,0.939
"WBGene00012710","WAGO",736.487,-6.193,0,"WBGene00012710","WAGO",52.339,-0.885,0.241
"WBGene00012712","ALG",153.671,-1.537,0,"WBGene00012712","ALG",569.793,0.366,0.125
"WBGene00012713","ALG",133.917,0.482,0.198,"WBGene00012713","ALG",492.831,0.638,0.001
"WBGene00012714","CSR",1105.203,-0.488,0.001,"WBGene00012714","CSR",4298.758,0.014,0.944
"WBGene00012715","CSR",1276.666,0.776,0,"WBGene00012715","CSR",2463.909,-0.171,0.225
"WBGene00012716","CSR",390.906,0.362,0.115,"WBGene00012716","CSR",1155.934,-0.228,0.168
"WBGene00012717","WAGO",272.415,-5.115,0,"WBGene00012717","WAGO",140.572,0.095,0.896
"WBGene00012718","CSR",177.051,0.01,0.98,"WBGene00012718","CSR",1173.187,-0.058,0.826
"WBGene00012719","WAGO",249.419,-1.301,0,"WBGene00012719","WAGO",1014.349,0.184,0.352
"WBGene00012720","ALG",3.865,2.376,0.294,"WBGene00012720","ALG",10.325,2.026,0.225
"WBGene00012722","unk",40.541,-0.77,0.226,"WBGene00012722","unk",612.487,0.241,0.294
"WBGene00012723","unk",59.161,-0.125,0.849,"WBGene00012723","unk",275.925,-0.387,0.235
"WBGene00012726","unk",20.745,1.149,0.191,"WBGene00012726","unk",10.57,2.261,0.178
"WBGene00012728","unk",2.586,-0.32,0.916,"WBGene00012728","unk",30.591,-0.665,0.558
"WBGene00012730","CSR",1836.94,0.433,0.002,"WBGene00012730","CSR",2668.965,-0.04,0.847
"WBGene00012731","WAGO",181.962,-3.745,0,"WBGene00012731","WAGO",10.521,1.207,0.545
"WBGene00012732","unk",365.445,-0.513,0.023,"WBGene00012732","unk",331.414,-0.151,0.703
"WBGene00012734","CSR",737.059,0.758,0,"WBGene00012734","CSR",688.482,0.104,0.717
"WBGene00012735","CSR",109.617,0.354,0.418,"WBGene00012735","CSR",1688.109,-0.172,0.295
"WBGene00012738","CSR",342.053,-0.108,0.71,"WBGene00012738","CSR",1412.967,-0.12,0.536
"WBGene00012739","unk",139.936,0.39,0.3,"WBGene00012739","unk",833.727,0.101,0.705
"WBGene00012740","unk",494.289,0.319,0.132,"WBGene00012740","unk",601.353,-0.049,0.896
"WBGene00012741","ALG",7.745,4.179,0.014,"WBGene00012741","ALG",11.439,2.983,0.052
"WBGene00012744","unk",256.641,-0.01,0.977,"WBGene00012744","unk",5.605,-0.902,0.771
"WBGene00012745","WAGO",743.578,0.563,0.001,"WBGene00012745","WAGO",6.382,6.049,0.018
"WBGene00012747","unk",15.119,-0.105,0.936,"WBGene00012747","unk",1238.672,0.642,0
"WBGene00012748","unk",160.377,-4.687,0,"WBGene00012748","unk",13.04,-0.772,0.685
"WBGene00012750","unk",88.996,2.008,0,"WBGene00012750","unk",47.236,-0.027,0.984
"WBGene00012753","unk",32.695,-3.494,0,"WBGene00012753","unk",27.823,0.51,0.71
"WBGene00012755","unk",34.196,-2.625,0.001,"WBGene00012755","unk",93.412,0.09,0.919
"WBGene00012756","CSR",358.48,0.402,0.086,"WBGene00012756","CSR",1380.057,0.101,0.647
"WBGene00012758","WAGO",1011.243,-6.445,0,"WBGene00012758","WAGO",91.752,0.047,0.961
"WBGene00012759","WAGO",232.2,-4.799,0,"WBGene00012759","WAGO",207.036,0.065,0.915
"WBGene00012760","unk",99.116,0.361,0.464,"WBGene00012760","unk",12.62,-1.973,0.194
"WBGene00012761","ALG",13.725,7.525,0,"WBGene00012761","ALG",2.904,4.941,0.162
"WBGene00012762","CSR",636.065,-0.88,0,"WBGene00012762","CSR",2705.755,0.075,0.726
"WBGene00012763","unk",38.536,0.303,0.7,"WBGene00012763","unk",69.091,-0.614,0.441
"WBGene00012764","unk",75.901,-7.977,0,"WBGene00012764","unk",8.009,-1.157,0.614
"WBGene00012765","ALG",156.257,-0.016,0.971,"WBGene00012765","ALG",1058.286,-0.15,0.479
"WBGene00012766","ALG",172.33,0.818,0.007,"WBGene00012766","ALG",295.049,-0.619,0.019
"WBGene00012767","CSR",777.041,0.269,0.145,"WBGene00012767","CSR",2803.642,-0.233,0.052
"WBGene00012768","ALG",1415.947,0.707,0,"WBGene00012768","ALG",8731.867,0.056,0.706
"WBGene00012769","CSR",1553.152,0.374,0.017,"WBGene00012769","CSR",3188.6,-0.215,0.664
