"small_rna","small_rna_class","small_rna_mean","small_rna_fold_change","small_rna_p_value","mrna_target","mrna_class","mrna_mean","mrna_fold_change","mrna_p_value"
"WBGene00007951","unk",11.642,-2.868,0.033,"WBGene00007951","unk",35.474,-0.178,0.907
"WBGene00007952","CSR",650.454,-0.752,0,"WBGene00007952","CSR",10556.104,-0.005,0.977
"WBGene00007953","unk",7.086,0.083,0.965,"WBGene00007953","unk",4.538,0.188,0.964
"WBGene00007955","unk",33.196,-0.046,0.959,"WBGene00007955","unk",927.676,-0.076,0.777
"WBGene00007956","unk",127.746,0.757,0.035,"WBGene00007956","unk",1162.234,-0.065,0.801
"WBGene00007957","unk",2.757,-0.194,0.95,"WBGene00007957","unk",81.346,-0.145,0.888
"WBGene00007959","unk",23.39,-0.136,0.895,"WBGene00007959","unk",158.051,0.304,0.546
"WBGene00007961","unk",31.47,-1.989,0.005,"WBGene00007961","unk",44.035,-0.686,0.429
"WBGene00007962","unk",8.921,-1.863,0.227,"WBGene00007962","unk",3.057,0.321,0.949
"WBGene00007963","unk",3.43,-0.163,0.953,"WBGene00007963","unk",264.375,1.045,0
"WBGene00007964","unk",4.587,-0.975,0.64,"WBGene00007964","unk",439.015,0.884,0
"WBGene00007965","CSR",236.93,-0.092,0.794,"WBGene00007965","CSR",6795.443,0.117,0.337
"WBGene00007966","unk",15445.548,0.094,0.497,"WBGene00007966","unk",2433.519,0.913,0
"WBGene00007967","unk",25.177,-1.212,0.161,"WBGene00007967","unk",163.189,0.739,0.049
"WBGene00007969","ALG",203.535,-0.115,0.749,"WBGene00007969","ALG",12105.986,-0.141,0.115
"WBGene00007970","unk",9318.734,0.114,0.437,"WBGene00007970","unk",49.411,-0.513,0.568
"WBGene00007971","CSR",358.967,-0.935,0,"WBGene00007971","CSR",3116.841,0.005,0.982
"WBGene00007972","CSR",537.936,0.462,0.017,"WBGene00007972","CSR",1599.92,0.005,0.985
"WBGene00007973","unk",7.241,0.13,0.944,"WBGene00007973","unk",41.803,0.082,0.953
"WBGene00007974","CSR",125.792,-0.087,0.849,"WBGene00007974","CSR",1442.506,-0.151,0.423
"WBGene00007975","CSR",963.827,-0.322,0.053,"WBGene00007975","CSR",3559.278,0.001,0.997
"WBGene00007976","WAGO",170.952,-3.245,0,"WBGene00007976","WAGO",479.009,0.132,0.7
"WBGene00007977","ALG",13.014,5.984,0.001,"WBGene00007977","ALG",46.15,3.134,0
"WBGene00007978","CSR",83.708,-0.35,0.474,"WBGene00007978","CSR",3556.853,-0.143,0.247
"WBGene00007979","WAGO",211.613,-1.963,0,"WBGene00007979","WAGO",5141.487,-0.104,0.434
"WBGene00007980","CSR",475.481,0.043,0.872,"WBGene00007980","CSR",4945.716,-0.013,0.948
"WBGene00007981","unk",3.53,0.209,0.936,"WBGene00007981","unk",54.772,-0.676,0.404
"WBGene00007982","WAGO",4565.163,-5.972,0,"WBGene00007982","WAGO",378.216,0.274,0.399
"WBGene00007983","unk",26.385,0.875,0.264,"WBGene00007983","unk",140.872,0.022,0.978
"WBGene00007984","WAGO",217.578,-4.865,0,"WBGene00007984","WAGO",61.638,-1.279,0.027
"WBGene00007985","WAGO",112.672,-0.719,0.064,"WBGene00007985","WAGO",613.588,-0.407,0.037
"WBGene00007986","ALG",3.757,2.393,0.268,"WBGene00007986","ALG",18.962,3.081,0.007
"WBGene00007987","ALG",18.749,2.604,0.005,"WBGene00007987","ALG",26.713,5.609,0
"WBGene00007988","WAGO",86.068,-3.467,0,"WBGene00007988","WAGO",24.383,-0.05,0.98
"WBGene00007991","CSR",97.271,0.858,0.03,"WBGene00007991","CSR",553.59,0.539,0.011
"WBGene00007993","unk",28.979,0.537,0.501,"WBGene00007993","unk",1125.589,0.045,0.876
"WBGene00007994","unk",5.943,-4.188,0.058,"WBGene00007994","unk",12.65,-0.953,0.591
"WBGene00007997","unk",91.875,1.087,0.006,"WBGene00007997","unk",3.057,0.312,0.95
"WBGene00007998","unk",4.234,0.709,0.749,"WBGene00007998","unk",4.189,3.96,0.208
"WBGene00007999","unk",2.531,-0.906,0.756,"WBGene00007999","unk",110.61,-1.311,0.005
"WBGene00008000","CSR",178.037,0.552,0.088,"WBGene00008000","CSR",6961.899,0.301,0
