"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C18H7.1",58.8897668428224,-4.20782654029723,0.464644424619687,-9.05601427100165,1.35304383612883e-19,5.20752746430083e-17
"F49E11.11",130.760297502563,-4.08420831692253,0.452852014394083,-9.01885867149606,1.90059008548684e-19,7.16561249781302e-17
"ZK970.1",286.867741754504,-2.02761166482959,0.226671251547466,-8.94516464257046,3.71395695897171e-19,1.37223281720087e-16
"E01G4.6",301.339031227585,5.36907195904631,0.603448603848421,8.89731441054914,5.72142485989116e-19,2.07250201689469e-16
"trK03D3.6",138.265047155472,6.62729099781297,0.748046005889882,8.85946979949327,8.03958819905436e-19,2.85621831517943e-16
"Y46G5A.27",248.174434185782,-1.55358102282776,0.17601376764702,-8.82647444910864,1.0802701446566e-18,3.76545484007285e-16
"Y53F4B.5",135.19747086414,5.22869403777691,0.594924316592132,8.78883900346872,1.51113436372264e-18,5.11784695750769e-16
"Y102A5C.4",119.608157792502,4.38638849562356,0.499138919528517,8.78791118866649,1.52366343327337e-18,5.11784695750769e-16
"M18.1",2093.39457770638,4.03810633521522,0.460410419094105,8.77066670897787,1.77611454148721e-18,5.85927500704193e-16
"K01A11.4",463.219312302367,2.4360624483522,0.278578687294035,8.74461170025178,2.23783898869508e-18,7.25295394336016e-16
"F15A2.1",21164.722443388,1.43397828963579,0.164666529355935,8.70837744163645,3.08255386635416e-18,9.81846553914254e-16
"psY46G5A.6",226.512813869701,2.19301803676178,0.252724797891243,8.67749447248746,4.04582874502416e-18,1.26682441077248e-15
"F55A3.5",204.644767988899,3.58843642083394,0.413929673756432,8.66919346049463,4.35191993964429e-18,1.33995614941648e-15
"F26F12.1",41986.245542847,1.36056247864231,0.157797448381336,8.62220836013998,6.56750639337435e-18,1.98898546083931e-15
"T23G5.6",938.470756314593,2.76396081796457,0.320790559657747,8.61609151127595,6.92783947915608e-18,2.06427268609564e-15
"H04D03.3",1291.36188029654,1.31569298789961,0.152756600798924,8.6130025217796,7.11715277477881e-18,2.08702032319466e-15
"C35B8.1",217.340188205723,7.0843206566445,0.824551025054242,8.59173106501015,8.56687187796279e-18,2.4728811105232e-15
"WBTransposon00000002",160.152094269422,22.370518129768,2.61478180342645,8.55540531162228,1.17455305919068e-17,3.33347150679388e-15
"F45G2.2",354.929499482678,-1.7783299587773,0.20791831636495,-8.55302211882035,1.19906909110892e-17,3.33347150679388e-15
"ZK909.6",256.32847949806,1.65866348337732,0.193948669488953,8.55207456564581,1.20895632215649e-17,3.33347150679388e-15
"Y73C8C.2",123.339101065246,-3.14442804168488,0.36908100343877,-8.51961496903902,1.60084625628163e-17,4.34912260860982e-15
"psY61A9LA.5",141.729904582821,2.78054805331799,0.327014904424759,8.50281750371336,1.85043687636752e-17,4.95434360203095e-15
"F49F1.7",182.510589548881,3.10052239552542,0.365958411604895,8.47233537255834,2.40521464360853e-17,6.34770504657485e-15
"F54C9.4",541.49537232527,4.37825491088823,0.517830886644225,8.45498988919197,2.79111535389942e-17,7.26240352787858e-15
"Y6B3B.4",2751.12758634592,-1.42208216360819,0.169808326205279,-8.37463153537623,5.53969183532492e-17,1.42139259674712e-14
"F02C12.1",570.952707167225,1.47631282560216,0.178429878372544,8.27391039587978,1.29635600490234e-16,3.28066860747476e-14
